tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date,exoplanet_status
234282389,2611.01,TOI-2611.01,2611,234282389.01,1,FA,13.5294,0.006,-0.006,1,0,22h21m04.39s,335.268299,,,,-64d42m44.17s,-64.71227,,,,23.974,0.025,-0.025,1.0,0.0,-17.412,0.026,-0.026,1.0,0.0,2458352.484922,0.006856,-0.006856,1,0,0.7320175,0.0002961,-0.0002961,1,0,2.577,0.357,-0.357,1,0,4520.0,8.94736,-8.94736,1,0,5.16324,,,1,0,8999.57,,,,,2713.0,,,,,541.431,5.729,-5.729,1,0,5458.0,5459.0,-5459.0,1,0,4.4,2.0,-2.0,1,0,0.81,,,1,0,,2021-04-12 21:05:05,2024-08-22 10:08:01,2025-09-28 22:48:44,0.0
70513361,262.01,TOI-262.01,262,70513361.01,1,CP,8.1345,0.006,-0.006,1,0,02h10m08.32s,32.534687,,,,-31d04m14.26s,-31.070627,,,,240.041,0.147,-0.147,1.0,0.0,-175.854,0.133,-0.133,1.0,0.0,2459136.576258,0.00311,-0.00311,1,0,11.1452784,3.7e-05,-3.7e-05,1,0,1.3947705,0.3350079,-0.3350079,1,0,566.2736451,47.23385,-47.23385,1,0,2.0671456,2.1233275,-2.1233275,1,0,56.9132658,,,,,700.5241733,,,,,43.932,0.1171,-0.1171,1,0,5302.58,20.9902,-20.9902,1,0,4.53515,0.037074,-0.037074,1,0,0.848675,0.0516382,-0.0516382,1,0,,2018-11-30 22:06:23,2021-12-01 16:02:01,2025-09-28 22:48:44,1.0
371443216,1924.01,TOI-1924.01,1924,371443216.01,1,KP,8.0552,0.006,-0.006,1,0,09h50m19.22s,147.580067,,,,-66d06m50.13s,-66.113925,,,,6.051,0.055,-0.055,1.0,0.0,-15.398,0.051,-0.051,1.0,0.0,2459358.688506,7.2e-05,-7.2e-05,1,0,2.8240691,5e-07,-5e-07,1,0,3.808,0.013,-0.013,1,0,8970.0,0.0125358,-0.0125358,1,0,17.7861,0.566327,-0.566327,1,0,4913.69,,,,,2332.0,,,,,170.696,0.933,-0.933,1,0,8004.2,205.1,-205.1,1,0,4.2,0.32,-0.32,1,0,1.84,0.06,-0.06,1,0,,2020-05-29 17:45:53,2022-10-05 10:10:01,2025-09-28 22:48:44,1.0
118956453,1925.01,TOI-1925.01,1925,118956453.01,1,KP,11.9397,0.006,-0.006,1,0,09h01m39.91s,135.416303,,,,-20d43m13.33s,-20.720369,,,,-9.984,0.067,-0.067,1.0,0.0,1.128,0.055,-0.055,1.0,0.0,2459279.602393,0.000406,-0.000406,1,0,2.3447752,1.7e-06,-1.7e-06,1,0,1.814,0.044,-0.044,1,0,15340.0,2.49835,-2.49835,1,0,13.4487,0.743905,-0.743905,1,0,320.327,,,,,1178.0,,,,,305.603,3.6665,-3.6665,1,0,5515.0,133.4,-133.4,1,0,4.39,0.08,-0.08,1,0,1.04,0.06,-0.06,1,0,,2020-05-29 17:45:53,2021-10-29 12:59:15,2025-09-28 22:48:44,1.0
143143769,1926.01,TOI-1926.01,1926,143143769.01,1,KP,12.3686,0.006,-0.006,1,0,05h58m23.73s,89.598895,,,,-30d48m42.48s,-30.811799,,,,-16.881,0.035,-0.035,1.0,0.0,-7.371,0.036,-0.036,1.0,0.0,2459175.372553,0.002529,-0.002529,1,0,1.3372349,0.0001162,-0.0001162,1,0,1.7026098,0.6273478,-0.6273478,1,0,1226.6760556,125.75308,-125.75308,1,0,3.0265786,3.7305796,-3.7305796,1,0,886.9841113,,,,,1391.8701134,,,,,280.555,1.8105,-1.8105,1,0,5111.9,121.9,-121.9,1,0,4.5,0.08,-0.08,1,0,0.860256,0.050804,-0.050804,1,0,,2020-05-29 17:45:53,2021-12-09 10:10:02,2025-09-28 22:48:44,1.0
14344979,1927.01,TOI-1927.01,1927,14344979.01,1,KP,12.3353,0.007,-0.007,1,0,10h55m09.32s,163.788852,,,,-00d44m13.44s,-0.737066,,,,-28.12,0.067,-0.067,1.0,0.0,24.033,0.052,-0.052,1.0,0.0,2459255.860453,0.000294,-0.000294,1,0,4.1117731,2.9e-06,-2.9e-06,1,0,2.1575648,0.024154,-0.024154,1,0,22017.8853537,292.72113,-292.72113,1,0,15.4112805,0.7490635,-0.7490635,1,0,268.7176151,,,,,1032.6277308,,,,,325.377,3.932,-3.932,1,0,5424.8,104.8,-104.8,1,0,4.49,0.07,-0.07,1,0,0.916164,0.0434171,-0.0434171,1,0,,2020-05-29 17:45:53,2024-11-26 16:02:02,2025-09-28 22:48:44,1.0
207077681,1928.01,TOI-1928.01,1928,207077681.01,1,KP,12.3119,0.006,-0.006,1,0,21h23m03.09s,320.762876,,,,-40d02m54.38s,-40.048439,,,,-3.337,0.125,-0.125,1.0,0.0,-39.852,0.118,-0.118,1.0,0.0,2459061.944577,0.000709,-0.000709,1,0,2.278575,0.0001318,-0.0001318,1,0,2.159825,0.0582632,-0.0582632,1,0,13638.9588751,271.81192,-271.81192,1,0,14.7731999,1.1305058,-1.1305058,1,0,775.8848566,,,,,1346.0744113,,,,,355.513,10.3715,-10.3715,1,0,4879.0,4879.8,-4879.8,1,0,4.5,2.0,-2.0,1,0,1.21163,0.0878214,-0.0878214,1,0,,2020-05-29 17:45:53,2021-10-29 12:59:15,2025-09-28 22:48:44,1.0
157266693,1929.01,TOI-1929.01,1929,157266693.01,1,KP,13.1648,0.006,-0.006,1,0,11h46m30.8s,176.628323,,,,-33d51m36.27s,-33.860076,,,,-35.023,0.028,-0.028,1.0,0.0,-4.597,0.022,-0.022,1.0,0.0,2459329.357403,0.000679,-0.000679,1,0,3.8537616,6.9e-06,-6.9e-06,1,0,3.392,0.136,-0.136,1,0,18650.0,3.75954,-3.75954,1,0,14.7144,,,1,0,471.61,,,,,1298.0,,,,,585.77,8.383,-8.383,1,0,5697.0,122.0,-122.0,1,0,4.39,,,1,0,1.06,,,1,0,,2020-05-29 17:45:53,2021-11-11 10:10:01,2025-09-28 22:48:44,1.0
183985250,193.01,TOI-193.01,193,183985250.01,1,CP,9.1031,0.006,-0.006,1,0,23h54m40.53s,358.668877,,,,-37d37m41.61s,-37.628224,,,,247.615,0.076,-0.076,1.0,0.0,-69.801,0.062,-0.062,1.0,0.0,2460206.061059,0.000245,-0.000245,1,0,0.7920646,2e-07,-2e-07,1,0,0.466,0.108,-0.108,1,0,1464.0,4471.23,-4471.23,1,0,12.9674,,,1,0,1013.69,,,,,1571.0,,,,,80.4373,0.3162,-0.3162,1,0,5422.0,185.0,-185.0,1,0,4.42223,0.273742,-0.273742,1,0,0.98,,,1,0,,2018-11-03 00:53:39,2023-11-03 10:08:02,2025-09-28 22:48:44,1.0
160578764,1930.01,TOI-1930.01,1930,160578764.01,1,KP,12.1014,0.006,-0.006,1,0,14h54m38.09s,223.658719,,,,-38d44m40.37s,-38.744547,,,,0.723,0.072,-0.072,1.0,0.0,-1.53,0.063,-0.063,1.0,0.0,2459355.488108,0.000868,-0.000868,1,0,2.8786641,4.8e-06,-4.8e-06,1,0,2.207,0.078,-0.078,1,0,8710.0,4.03981,-4.03981,1,0,12.863,0.793497,-0.793497,1,0,471.142,,,,,1297.0,,,,,508.885,16.1435,-16.1435,1,0,6017.0,133.0,-133.0,1,0,4.22,0.08,-0.08,1,0,1.35,0.08,-0.08,1,0,,2020-05-29 17:45:53,2022-10-05 10:10:01,2025-09-28 22:48:44,1.0
