pl_rade,pl_trandep,pl_orbper,pl_trandurh,pl_insol,pl_eqt,st_rad,st_logg,st_teff,st_tmag,st_dist
2.18203,493.0,15.9234883,4.021,48.5414,735.0,1.08,4.38315,5711.85,8.4724,73.8713
6.9564258,5592.2909183,4.3601536,2.3408909,202.0738994,961.6063113,0.874131,4.50479,5227.0,11.1153,168.735
3.25485,1143.0,13.0791581,2.97,48.6058,735.0,1.0,4.41707,5453.0,10.2108,139.49
12.5541925,27021.6932424,3.4779776,2.5103489,153.1388971,897.2038496,0.765001,4.54638,4699.0,11.1534,118.106
2.4691414,3168.3853584,10.8948421,2.0719394,5.5137471,390.8242112,0.435666,4.79432,3618.0,11.0402,36.0118
1.9112282,1686.7881033,18.8016111,1.9093524,2.6636757,325.8292621,0.435666,4.79432,3618.0,11.0402,36.0118
2.3483383,758.584999,4.2529641,2.5733867,231.2034004,994.5309519,0.848906,4.38111,5591.0,10.9897,172.138
4.5947,2770.0,3.3159772,1.494,120.595,923.0,0.81,4.54,4972.7,11.0244,137.572
9.34848,4860.0,4.6313014,1.435,225.013,1078.0,1.07,4.39,5736.0,10.418,177.118
8.6976173,9618.5798534,14.4751062,1.6182484,6.5402175,407.866275,0.55035,4.69364,3841.0,11.7819,75.5759
3.2264735,933.6532689,9.6141636,3.4271882,74.7359105,749.8978043,0.840608,4.5707,5477.0,9.99454,107.055
4.94551,2798.0,2.6998294,2.208,1198.41,1639.0,0.92,4.57956,6180.0,9.93119,114.865
9.43435,3350.0,3.9152737,2.562,311.498,1170.0,1.58,4.05,5714.0,10.9458,332.648
14.9685779,7958.980656,3.1968838,3.7533697,1843.1329908,1671.1249287,1.59715,4.15,6470.0,10.7973,388.227
14.5727196,6732.488454,3.9443668,4.8652146,1078.5986988,1461.6208264,1.75475,3.93,5494.0,10.8041,323.265
9.8153513,4199.7558754,4.5371361,4.042155,732.0077048,1326.6264827,1.48668,4.1,5731.0,10.9585,319.036
2.5856853,1142.4891745,6.0964074,2.3632965,69.8633506,737.3642914,0.731699,4.6,4820.4,10.5216,90.8693
2.7049797,844.7022676,5.5025577,3.1711008,102.6644008,811.847988,0.784109,4.56,4965.0,10.7261,115.45
2.5235818,733.5550822,1.7622537,0.8779711,468.5415425,1186.6066429,0.784109,4.56,4965.0,10.7261,115.45
1.7536544,424.3932848,0.8474218,0.8758764,1876.1315489,1678.5549814,0.846387,4.56,5300.0,10.7157,147.476
1.6177405,318.6638392,4.8420438,2.4105648,183.6641995,938.9141348,0.846387,4.56,5300.0,10.7157,147.476
4.31235,1806.0,25.8386422,5.209,32.9135,667.0,1.03,4.43,5769.0,10.0618,146.858
9.43898,5460.0,10.5739824,4.04,171.146,1007.0,1.27,4.36,6519.0,11.4266,414.23
8.3621,2447.0,4.4247042,1.318,465.179,1293.0,1.49,4.23,6594.0,8.82374,139.484
